<Trait>	Nematode Gall rating	Nematode Egg Mass rating	TSWV	Leaf spot - Mid / late season	Leaf spot - Late seaso	Leaf spot - harvest	Relative scale - Aflatoxin	Relative scale - Yield under drought stress	Growth habit	Plant size	Main stem (mid season)	Main stem (harvest)		Flowers on main stem	Leaf color	Stem Pigmentation	Pod shape	Pod constriction	Pod reticulation	Seed per pod	Pod weight	Market type	Testa color pattern	Testa color	Seed wright	Shellout
PI157542_run_chi	5	5	4	7	7	8	0.4		4	2	1	2	1	3	1	3	4	5	3	2100	135.5	3	1	23	63.1	75.4	
PI158854_Val_Chi	4	4	7	6	8	9.5	NA	NA	5	3	2	1	2	3	2	2	6	5	2	3421	107.9	2	1	42	40.3	65.3	
PI159786_Spa_Sen	4	4	6	2.5	5	6	1.2	NA	2	4	4	2	3	3	1	4	1	3	2	2100	61	1	1	24	32.2	76.6
PI162857_Vir_Sud	5	5	4	6.5	7	7	1	NA	3	3	1	1	1	4	1	3	4	3	3	2100	180.5	4	1	24	84.8	66.2
PI196622_Run_IvC	5	5	4	5.5	6.5	7	0.3	NA	3	3	2	1	1	3	1	3	4	2	4	2100	114.6	3	1	24	50.7	75.7
PI196635_Spa_Mad	4	4	5	3	6	8	2.1	NA	2	4	2	2	1	3	1	4	1	3	2	2100	67.1	1	1	23	28.8	70.3
PI200441_Run_Jap	3	3	8	6.5	8	9	0.6	NA	5	4	2	1	2	3	1	2	4	5	4	2100	89.9	3	1	24	41.9	71.1
PI240560_Run_SAf	5	5	8	7.5	8.5	9.5	0.7	NA	5	4	2	1	2	2	1	2	4	2	2	2100	78.2	3	1	24	34.1	75.1
PI259836_Spa_Mal	3	3	7	NA	NA	NA	NA	NA	5	3	1	1	2	2	1	2	1	5	2	2100	61.8	1	1	42	32.8	72.6
PI259851_Run_Mal	3	3.5	6	6.5	7.5	8	0	NA	3	4	1	1	1	3	1	3	4	3	3	2100	130.2	3	1	37	58.1	73.9
PI262038_Val_Bra	4	4	8	6	8.5	9.5	1.6	NA	5	4	2	1	2	3	2	2	2	1	2	3214	123.8	2	1	40	36.3	71
