Query_1	Query_1	BC_1959	5e-61	580
Query_2	Query_2	BC_0688	1e-130	1183
Query_2	Query_2	BC_3455	1e-104	958
Query_2	Query_2	BC_3724	1e-79	742
Query_2	Query_2	BC_2980	2e-75	706
Query_2	Query_2	BC_0699	2e-74	698
Query_2	Query_2	BC_0643	1e-70	666
Query_2	Query_2	BC_3052	3e-64	610
Query_2	Query_2	BC_3577	6e-12	158
Query_2	Query_2	BC_3245	9e-11	149
Query_2	Query_2	BC_0255	1e-10	147
Query_2	Query_2	BC_0593	2e-10	146
Query_2	Query_2	BC_3108	1e-09	139
Query_2	Query_2	BC_0865	6e-05	98
Query_4	Query_4	BC_0042	8e-26	270
Query_4	Query_4	BC_1884	3e-25	265
Query_4	Query_4	BC_1996	2e-23	250
Query_4	Query_4	BC_2444	4e-22	238
Query_4	Query_4	BC_0059	9e-11	140
Query_6	Query_6	BC_0042	9e-42	407
Query_6	Query_6	BC_1884	1e-32	329
Query_6	Query_6	BC_2444	9e-25	260
Query_6	Query_6	BC_1996	1e-24	259
Query_6	Query_6	BC_0059	3e-14	170
Query_7	Query_7	BC_4601	7e-124	1122
Query_8	Query_8	BC_4184	8e-50	480
Query_9	Query_9	BC_4183	0.0	1829
Query_9	Query_9	BC_2484	2e-133	1207
Query_9	Query_9	BC_3947	2e-122	1111
Query_9	Query_9	BC_3886	2e-15	189
Query_9	Query_9	BC_3886	2e-10	145
Query_9	Query_9	BC_0334	1e-07	121
Query_10	Query_10	BC_4602	1e-111	1016
Query_10	Query_10	BC_2488	1e-05	102
Query_11	Query_11	BC_5341	0.0	1648
Query_11	Query_11	BC_5342	5e-130	1176
Query_11	Query_11	BC_5002	9e-71	665
Query_11	Query_11	BC_2288	1e-66	630
Query_12	Query_12	BC_4637	0.0	1741
Query_12	Query_12	BC_4161	2e-13	171
Query_13	Query_13	BC_2779	8e-151	1355
Query_13	Query_13	BC_4159	1e-41	413
Query_13	Query_13	BC_3973	8e-32	329
Query_14	Query_14	BC_2778	4e-164	1470
Query_14	Query_14	BC_4158	7e-77	717
Query_14	Query_14	BC_3972	1e-72	681
Query_14	Query_14	BC_4176	3e-11	152
Query_15	Query_15	BC_2777	4e-125	1134
Query_15	Query_15	BC_1251	2e-55	534
Query_15	Query_15	BC_3971	1e-48	474
Query_15	Query_15	BC_4157	2e-46	455
Query_16	Query_16	BC_2776	3e-161	1446
Query_16	Query_16	BC_4160	3e-85	791
Query_16	Query_16	BC_3970	1e-79	743
Query_16	Query_16	BC_1246	1e-15	190
Query_16	Query_16	BC_0791	1e-11	156
Query_16	Query_16	BC_5159	7e-08	124
Query_16	Query_16	BC_1495	4e-07	117
Query_16	Query_16	BC_2136	8e-07	114
Query_17	Query_17	BC_2766	4e-178	1593
Query_17	Query_17	BC_2837	2e-67	638
Query_17	Query_17	BC_4165	3e-65	620
Query_17	Query_17	BC_0356	6e-59	565
Query_17	Query_17	BC_0473	1e-55	536
Query_17	Query_17	BC_2250	1e-50	493
Query_17	Query_17	BC_5205	4e-12	162
Query_17	Query_17	BC_4478	1e-04	96
Query_18	Query_18	BC_3848	1e-29	303
Query_20	Query_20	BC_0262	1e-28	295
Query_21	Query_21	BC_4659	0.0	2415
Query_21	Query_21	BC_4645	5e-87	807
Query_21	Query_21	BC_2489	9e-68	641
Query_21	Query_21	BC_4526	2e-56	544
Query_21	Query_21	BC_1088	3e-48	473
Query_21	Query_21	BC_0890	4e-46	455
Query_21	Query_21	BC_2304	3e-36	369
Query_21	Query_21	BC_4851	2e-35	363
Query_21	Query_21	BC_3419	1e-32	338
Query_21	Query_21	BC_2452	2e-28	301
Query_21	Query_21	BC_0423	5e-27	290
Query_21	Query_21	BC_3628	9e-26	279
Query_21	Query_21	BC_2453	3e-25	274
Query_21	Query_21	BC_2453	1e-18	217
Query_21	Query_21	BC_2456	1e-22	251
Query_21	Query_21	BC_2456	2e-22	251
Query_21	Query_21	BC_2456	5e-18	212
Query_21	Query_21	BC_2307	5e-21	238
Query_21	Query_21	BC_1372	4e-19	221
Query_21	Query_21	BC_1980	5e-19	221
Query_21	Query_21	BC_2306	3e-18	213
Query_21	Query_21	BC_3630	2e-16	198
Query_21	Query_21	BC_2455	1e-10	149
Query_21	Query_21	BC_3631	2e-04	96
Query_22	Query_22	BC_4660	3e-87	804
Query_23	Query_23	BC_4661	5e-58	553
Query_23	Query_23	BC_0737	3e-10	140
Query_23	Query_23	BC_0737	2e-04	91
Query_24	Query_24	BC_4662	5e-156	1401
Query_25	Query_25	BC_3740	2e-66	625
Query_25	Query_25	BC_3105	5e-14	173
Query_25	Query_25	BC_2507	5e-12	155
Query_25	Query_25	BC_0213	5e-12	155
Query_25	Query_25	BC_3033	2e-11	151
Query_25	Query_25	BC_1115	8e-11	145
Query_25	Query_25	BC_3253	4e-09	131
Query_25	Query_25	BC_4832	3e-08	124
Query_25	Query_25	BC_2632	3e-08	123
Query_26	Query_26	BC_3741	2e-51	495
Query_26	Query_26	BC_2024	4e-21	233
Query_27	Query_27	BC_1138	0.0	3403
Query_27	Query_27	BC_0340	9e-25	273
Query_27	Query_27	BC_0340	3e-07	122
Query_27	Query_27	BC_1223	8e-19	222
Query_27	Query_27	BC_1223	5e-05	103
Query_28	Query_28	BC_1137	0.0	3060
Query_29	Query_29	BC_3012	9e-39	391
Query_30	Query_30	BC_2220	8e-45	441
Query_30	Query_30	BC_0668	1e-16	199
Query_30	Query_30	BC_3377	6e-15	184
Query_30	Query_30	BC_2660	4e-14	176
Query_30	Query_30	BC_3380	2e-12	161
Query_30	Query_30	BC_3092	8e-12	156
Query_30	Query_30	BC_3498	5e-09	132
Query_30	Query_30	BC_2107	3e-06	109
Query_30	Query_30	BC_0802	3e-05	100
Query_31	Query_31	BC_3092	4e-143	1289
Query_31	Query_31	BC_0668	2e-20	230
Query_31	Query_31	BC_2220	4e-13	168
Query_31	Query_31	BC_2660	2e-04	93
Query_32	Query_32	BC_0152	3e-93	856
Query_33	Query_33	BC_0377	3e-86	795
Query_33	Query_33	BC_0517	5e-06	103
Query_34	Query_34	BC_0376	0.0	2224
Query_34	Query_34	BC_5159	4e-46	454
Query_34	Query_34	BC_0385	3e-16	196
Query_34	Query_34	BC_4926	1e-14	182
Query_34	Query_34	BC_1495	2e-08	128
Query_34	Query_34	BC_1246	8e-08	124
Query_34	Query_34	BC_3970	7e-07	116
Query_34	Query_34	BC_3447	4e-05	100
Query_34	Query_34	BC_2840	5e-05	99
Query_35	Query_35	BC_4174	3e-65	612
Query_35	Query_35	BC_0405	4e-32	327
Query_36	Query_36	BC_4902	3e-58	553
Query_37	Query_37	BC_4383	0.0	3478
Query_37	Query_37	BC_1672	5e-09	136
Query_37	Query_37	BC_4576	2e-05	105
Query_38	Query_38	BC_4901	2e-151	1362
Query_38	Query_38	BC_4009	2e-98	904
Query_38	Query_38	BC_1546	2e-77	723
Query_38	Query_38	BC_4035	3e-42	419
Query_38	Query_38	BC_2896	2e-40	404
Query_38	Query_38	BC_2680	1e-21	242
Query_38	Query_38	BC_4906	4e-19	220
Query_38	Query_38	BC_2742	1e-18	216
Query_38	Query_38	BC_1987	1e-18	215
Query_38	Query_38	BC_3039	3e-17	203
Query_38	Query_38	BC_3756	1e-15	190
Query_38	Query_38	BC_2549	2e-11	154
Query_38	Query_38	BC_1518	6e-11	149
Query_38	Query_38	BC_2940	2e-10	145
Query_38	Query_38	BC_2526	6e-09	132
Query_38	Query_38	BC_2068	3e-07	117
Query_39	Query_39	BC_3569	5e-08	125
Query_39	Query_39	BC_5454	8e-07	115
Query_39	Query_39	BC_2123	3e-06	110
Query_39	Query_39	BC_4724	5e-06	108
Query_41	Query_41	BC_3329	4e-30	312
Query_41	Query_41	BC_1050	9e-26	275
Query_41	Query_41	BC_3436	4e-22	243
Query_41	Query_41	BC_4537	5e-21	234
Query_41	Query_41	BC_5400	2e-20	229
Query_41	Query_41	BC_4279	2e-20	229
Query_41	Query_41	BC_1734	6e-20	224
Query_41	Query_41	BC_2478	1e-19	222
Query_41	Query_41	BC_2655	5e-18	208
